name,type,url,lvl,Vitality,Wisdom,Strength,Intelligence,Chance,Agility,Power,AP,MP,Range,Summon,Critical Hit,Initiative,Prospection,Lock,Dodge,AP Reduction,MP Reduction,AP Res,MP Res,Push Res.,Crit. Res,Pods,Trap Damage,%Trap Dam,Damage,Neutral Damage,Earth Damage,Fire Damage,Water Damage,Air Damage,Crit. Damage,Push Damage,Heal,Neutral Res.,Earth Res.,Fire Res.,Water Res.,Air Res.,%Neutral Res,%Earth Res,%Fire Res,%Water Res,%Air Res,Critical Hit,%Melee Res,%Range Res
Coiffe du Comte Harebourg,Chapeau,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/14076-coiffe-comte-harebourg,200,451,41,71,,,,,,,1,,,,21,16,,6,,,,,,,,,,16,16,,,,,,,,,,,,-4,-4,-4,-4,-4,,,
Ceinture Séculaire,Ceinture,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/14081-ceinture-seculaire,200,301,31,,61,,31,,,,1,,5,201,,,11,,,,,,,,,,,,,7,,,11,,7,,,,,,,,,,7,5,,
Anneau Cryochrone,Anneau,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/14089-anneau-cryochrone,200,251,21,,31,31,,,,,1,,,,,,,,,,,,,,,,,,,8,8,,7,,7,,,,,,,,,,,,,
Anneau du Cycloïde,Anneau,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/14092-anneau-cycloide,200,251,,31,31,,31,,,,,,,201,,4,,,,,,,,,,,,7,7,7,,7,,,,,,,,,,,,6,,,,
Ceinture du Nocturlabe,Ceinture,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/14098-ceinture-nocturlabe,200,301,41,,,,71,,,,-1,,5,,16,,,,,,,,,,,,,,,,,11,,16,,,16,,,,,,,7,,5,,
Cape Lati,Cape,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/14159-cape-lati,200,251,16,,41,,41,,,,,,3,401,,,,6,,,,,,,,,,,,8,,8,8,,7,16,,,,11,-11,,7,,,3,,
Amulette du Piloztère,Amulette,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/15189-amulette-piloztere,200,301,31,51,,51,,,,,,,3,,11,,,,,16,,-21,21,,,,,16,16,,16,,,,,,,,,,,,,7,,3,,
Pantoufles du Piloztère,Bottes,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/15191-pantoufles-piloztere,200,301,31,41,,41,,,,1,1,,3,,11,,7,,,5,,,,,,,,9,9,,9,,,,,,,,,,,,,5,,3,,
Cape de la Cour Sombre,Cape,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/15430-cape-cour-sombre,200,301,31,51,,,,,,,2,,3,,11,7,,4,,,,,,,,,,16,16,,,,,,,,,,,,,,,,9,3,,
Baleinabottes,Bottes,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/15692-baleinabottes,200,301,31,41,,,41,,1,1,,,,,11,,5,,,-5,,,11,,,,,9,9,,,9,,,,,,,,,,,,7,,,,
Kidibonnet,Chapeau,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/15694-kidibonnet,200,351,31,,,41,,11,1,,,,3,,11,11,,,,,7,,,,,,,,,,11,,,,,,,,,,5,,5,,,3,,
Anneau de Pol Ouatnos,Anneau,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/15698-anneau-pol-ouatnos,200,251,31,,,,,,,1,1,,3,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,5,3,,
Amibou,Amulette,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/15737-amibou,200,301,31,,,,41,,1,,1,,3,,11,-10,,,4,,,,,,,,,,,,,11,,16,,,,,,,7,,,5,,3,,
Capibou,Cape,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/15739-capibou,200,351,31,,,,41,,,,,1,4,,11,-10,,,4,,,,,,,,,,,,,11,7,16,,,,16,,,,,9,,,4,,
Cagoule de Vortex,Chapeau,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/15745-cagoule-vortex,200,351,31,,31,,31,,,,1,1,3,,11,,,4,,,,,,,,,,,,11,,11,,,9,,,,,,,7,,,,3,,
Bottarpille,Bottes,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/15748-bottarpille,200,351,31,,,,,,,,,,2,,11,16,,,,,21,,,,,,,,,,,,,,11,,,,,,5,5,,,,2,,
Ceintrigue,Ceinture,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/15750-ceintrigue,200,301,31,,41,41,,,,,1,,3,,,,,,,,,,,,,,,,,16,16,,,16,11,,,,,,,,,,7,3,,
Bracelet des Fonds marins,Anneau,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/16005-bracelet-fonds-marins,200,201,31,,,41,,,,,1,,2,,,7,,,,,4,,,,,,,,,,9,,,,,,,,,,,,7,,,2,,
Ceinture Voldelor,Ceinture,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/17104-ceinture-voldelor,200,251,31,,,51,51,,,,1,,,,11,,5,,,,-5,,,,,,,,,,11,11,11,,,,,,,,,,7,7,,,,
Bottes du Roi Joueur,Bottes,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/17572-bottes-roi-joueur,200,301,31,41,41,,,,,1,1,,4,,11,,-5,,4,,,,,,,,,11,11,11,,,,,,,,,,,,,,7,,4,,
Anneau Crustique,Anneau,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/17998-anneau-crustique,200,301,31,61,,,,,,,,,2,,,7,,7,,,,,,,,,,9,9,,,,,,,,,,,,,,,5,,2,,
Masque de Koutoulou,Chapeau,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/18000-masque-koutoulou,200,301,21,51,,,,,1,,,,2,,,,,,,,,,16,,,,,9,9,,,,,,,,,,,,,,7,,7,2,,
Chapoulpe,Chapeau,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/18021-chapoulpe,200,301,31,51,,,51,,,,1,,3,,,5,,4,,,7,,,,,,,9,9,,,9,,,,,,,,,,,7,,,3,,
Amulette de l'Indicible,Amulette,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/18025-amulette-indicible,200,301,31,31,31,31,31,,1,,1,,,,,,11,,,,,,,,,,,11,11,11,11,11,,,,,,,,,,,,,7,,,
Bague Trithon,Anneau,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/18029-bague-trithon,200,301,31,,,,,,,,,,,,11,7,,,,7,,,,,,,,,,,,,16,11,,,,,,,,5,,5,,,,
Masque Trithon,Chapeau,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/18031-masque-trithon,200,301,31,,,,,,,,,1,3,601,11,7,,,,7,,,,,,,,,,,,,21,21,,,,,,,,,7,,,3,,
Amulette Luminescente,Amulette,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/18032-amulette-luminescente,200,301,31,41,,41,,,1,,,,3,,,7,,,4,,,,,,,,,7,7,,7,,,16,,,,,,,,7,,,,3,,
Capuche de Moum-Ra,Chapeau,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/18596-capuche-moum-ra,200,401,21,,,,61,,,,1,,4,,11,,-30,,,9,,16,,,,,,,,,,7,,,,,,,,,,,7,7,,4,,
Jadis,Bouclier,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/18697-jadis,200,,,,,,,,,,,,,,,16,,,,,,41,41,,,,,,,,,,,,,,,,,,,,,,,,11,-15
Masque d'Anerice,Chapeau,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/19075-masque-anerice,200,401,31,,,,,,,,1,,4,,11,,,,,,9,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,,
Goulano,Anneau,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/19078-goulano,200,201,21,31,31,31,,,,,,,,,,,,,,,,,16,,,,,5,5,5,5,,,,,,,,,,,7,,,,,,
Amulette du Cœur Saignant,Amulette,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/19244-amulette-coeur-saignant,200,351,31,61,,,,,1,,,,4,,11,5,-5,,5,,,,,,,,,7,7,,,,11,,,,,,,,,,7,,,4,,
Amulette de l'Œil Putride,Amulette,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/19258-amulette-oeil-putride,200,301,31,,41,41,41,,1,,,,3,,11,,5,,,,,,,,,,,,,7,7,7,11,,,,,,,,,7,,,,3,,
